"Count","DateTime","T2 Ez","T2 CheckEz","T2 Ex","T2 Prime","T2 DAX A"
"0","24JAN25 16:36:52 ",97,97,85,120,135
"1","24JAN25 16:36:53 ",97,97,85,120,135
"2","24JAN25 16:36:54 ",97,97,85,120,135
"3","24JAN25 16:36:55 ",97,97,85,120,135
"4","24JAN25 16:36:56 ",97,97,85,120,135
"5","24JAN25 16:36:57 ",97,97,85,120,135
"6","24JAN25 16:36:58 ",97,97,85,120,135
"7","24JAN25 16:36:59 ",97,97,85,120,135
"8","24JAN25 16:37:00 ",97,97,85,120,135
"9","24JAN25 16:37:01 ",97,97,85,120,135
"10","24JAN25 16:37:02 ",97,97,85,120,135
"11","24JAN25 16:37:03 ",98,98,85,120,135
"12","24JAN25 16:37:04 ",98,98,85,120,135
"13","24JAN25 16:37:05 ",98,98,85,120,135
"14","24JAN25 16:37:06 ",98,98,85,120,135
"15","24JAN25 16:37:07 ",98,98,85,120,135
"16","24JAN25 16:37:08 ",98,98,85,120,135
"17","24JAN25 16:37:09 ",98,98,85,120,135
"18","24JAN25 16:37:10 ",98,98,85,120,135
"19","24JAN25 16:37:11 ",98,98,85,120,135
"20","24JAN25 16:37:12 ",98,98,85,120,135
"21","24JAN25 16:37:13 ",98,98,85,120,135
"22","24JAN25 16:37:14 ",98,98,85,120,135
"23","24JAN25 16:37:15 ",98,98,85,120,135
"24","24JAN25 16:37:16 ",97,97,85,120,135
"25","24JAN25 16:37:17 ",96,95,85,120,135
"26","24JAN25 16:37:18 ",94,92,85,120,135
"27","24JAN25 16:37:19 ",93,92,85,120,135
"28","24JAN25 16:37:20 ",91,90,85,120,135
"29","24JAN25 16:37:21 ",91,90,85,120,135
"30","24JAN25 16:37:22 ",89,88,85,120,135
"31","24JAN25 16:37:23 ",88,88,85,120,135
"32","24JAN25 16:37:24 ",87,87,85,120,135
"33","24JAN25 16:37:25 ",86,86,85,120,135
"34","24JAN25 16:37:26 ",85,84,85,120,135
"35","24JAN25 16:37:27 ",83,82,85,120,135
"36","24JAN25 16:37:28 ",82,82,85,120,135
"37","24JAN25 16:37:29 ",81,81,85,120,135
"38","24JAN25 16:37:30 ",82,86,85,120,135
"39","24JAN25 16:37:31 ",84,86,85,120,135
"40","24JAN25 16:37:32 ",85,84,85,120,135
"41","24JAN25 16:37:33 ",84,84,85,120,135
"42","24JAN25 16:37:34 ",83,81,85,120,135
"43","24JAN25 16:37:35 ",81,81,85,120,135
"44","24JAN25 16:37:37 ",80,80,85,120,135
"45","24JAN25 16:37:38 ",79,79,85,120,135
"46","24JAN25 16:37:39 ",76,74,85,120,135
"47","24JAN25 16:37:40 ",75,74,85,120,135
"48","24JAN25 16:37:41 ",73,73,85,120,135
"49","24JAN25 16:37:42 ",72,72,85,120,135
"50","24JAN25 16:37:43 ",71,70,85,120,135
"51","24JAN25 16:37:44 ",70,70,85,120,135
"52","24JAN25 16:37:45 ",69,69,85,120,135
