"Count","DateTime","T1 Ez","T1 CheckEz","T1 Ex","T1 Prime","T1 DAX A"
"0","28JAN25 09:52:27 ",100,100,68,125,140
"1","28JAN25 09:52:28 ",100,100,68,125,140
"2","28JAN25 09:52:29 ",100,100,68,125,140
"3","28JAN25 09:52:30 ",100,100,68,125,140
"4","28JAN25 09:52:31 ",100,100,68,125,140
"5","28JAN25 09:52:33 ",100,100,68,125,140
"6","28JAN25 09:52:34 ",100,100,68,125,140
"7","28JAN25 09:52:35 ",100,100,68,125,140
"8","28JAN25 09:52:36 ",100,100,68,125,140
"9","28JAN25 09:52:37 ",100,99,68,125,140
"10","28JAN25 09:52:38 ",99,99,68,125,140
"11","28JAN25 09:52:39 ",98,98,67,125,140
"12","28JAN25 09:52:40 ",96,95,67,125,140
"13","28JAN25 09:52:41 ",93,92,67,125,135
"14","28JAN25 09:52:42 ",91,92,67,120,135
"15","28JAN25 09:52:43 ",90,90,67,120,135
"16","28JAN25 09:52:44 ",89,89,67,120,135
"17","28JAN25 09:52:45 ",86,85,67,120,135
"18","28JAN25 09:52:46 ",85,85,67,120,135
"19","28JAN25 09:52:47 ",84,85,67,120,135
"20","28JAN25 09:52:48 ",82,82,67,120,135
"21","28JAN25 09:52:49 ",81,82,67,120,135
"22","28JAN25 09:52:50 ",79,80,67,120,135
"23","28JAN25 09:52:51 ",78,77,67,120,135
"24","28JAN25 09:52:52 ",76,75,67,120,135
"25","28JAN25 09:52:53 ",74,75,66,120,135
"26","28JAN25 09:52:54 ",73,73,66,120,135
"27","28JAN25 09:52:55 ",72,72,66,120,135
"28","28JAN25 09:52:56 ",71,71,66,120,135
"29","28JAN25 09:52:57 ",70,70,66,120,135
"30","28JAN25 09:52:58 ",67,61,67,120,135
"31","28JAN25 09:52:59 ",61,52,72,120,135
"32","28JAN25 09:53:00 ",51,50,78,120,135
"33","28JAN25 09:53:01 ",50,49,78,120,135
"34","28JAN25 09:53:02 ",48,48,78,120,135
"35","28JAN25 09:53:03 ",47,47,78,120,135
"36","28JAN25 09:53:04 ",45,45,78,120,135
"37","28JAN25 09:53:05 ",44,43,78,120,135
"38","28JAN25 09:53:06 ",42,42,78,120,135
"39","28JAN25 09:53:07 ",41,41,78,120,135
"40","28JAN25 09:53:08 ",38,38,78,120,135
"41","28JAN25 09:53:09 ",37,37,78,120,135
"42","28JAN25 09:53:10 ",35,35,78,120,135
"43","28JAN25 09:53:11 ",34,35,78,120,135
"44","28JAN25 09:53:12 ",33,33,78,120,135
"45","28JAN25 09:53:13 ",30,30,78,120,135
"46","28JAN25 09:53:14 ",28,28,78,120,135
"47","28JAN25 09:53:15 ",28,28,78,120,135
"48","28JAN25 09:53:16 ",26,25,78,120,135
"49","28JAN25 09:53:17 ",25,25,78,120,135
"50","28JAN25 09:53:18 ",23,22,78,120,135
"51","28JAN25 09:53:19 ",21,20,78,120,135
"52","28JAN25 09:53:20 ",19,20,78,120,135
"53","28JAN25 09:53:21 ",18,18,78,120,135
"54","28JAN25 09:53:22 ",17,17,78,120,135
"55","28JAN25 09:53:23 ",15,15,78,120,135
"56","28JAN25 09:53:24 ",14,13,78,120,135
"57","28JAN25 09:53:25 ",11,12,78,120,135
"58","28JAN25 09:53:26 ",10,10,78,120,135
"59","28JAN25 09:53:27 ",9,10,78,120,135
"60","28JAN25 09:53:28 ",7,9,78,120,135
"61","28JAN25 09:53:29 ",6,8,78,120,135
"62","28JAN25 09:53:30 ",5,7,78,120,135
"63","28JAN25 09:53:31 ",5,7,78,120,135
"64","28JAN25 09:53:32 ",5,7,78,120,135
"65","28JAN25 09:53:33 ",5,7,78,120,135
"66","28JAN25 09:53:34 ",6,10,78,120,135
"67","28JAN25 09:53:35 ",8,10,78,120,135
"68","28JAN25 09:53:36 ",9,12,78,120,135
"69","28JAN25 09:53:37 ",10,12,78,120,135
"70","28JAN25 09:53:38 ",11,15,78,120,135
"71","28JAN25 09:53:39 ",11,15,78,120,135
"72","28JAN25 09:53:40 ",14,17,78,120,135
"73","28JAN25 09:53:41 ",15,17,78,120,135
"74","28JAN25 09:53:42 ",17,20,78,120,135
"75","28JAN25 09:53:43 ",18,20,78,120,135
"76","28JAN25 09:53:44 ",20,22,78,120,135
"77","28JAN25 09:53:45 ",21,22,78,120,135
"78","28JAN25 09:53:46 ",23,26,78,120,135
"79","28JAN25 09:53:47 ",24,28,78,120,135
"80","28JAN25 09:53:48 ",27,28,78,120,135
"81","28JAN25 09:53:49 ",28,30,78,120,135
"82","28JAN25 09:53:50 ",29,30,78,120,135
"83","28JAN25 09:53:51 ",30,33,78,120,135
"84","28JAN25 09:53:52 ",33,35,78,120,135
"85","28JAN25 09:53:53 ",34,35,78,120,135
"86","28JAN25 09:53:54 ",36,38,78,120,135
"87","28JAN25 09:53:55 ",37,38,78,120,135
"88","28JAN25 09:53:56 ",38,41,78,120,135
"89","28JAN25 09:53:57 ",40,41,78,120,135
"90","28JAN25 09:53:58 ",42,46,78,120,135
"91","28JAN25 09:53:59 ",43,46,78,120,135
"92","28JAN25 09:54:00 ",45,46,78,120,135
"93","28JAN25 09:54:01 ",45,47,78,120,135
"94","28JAN25 09:54:02 ",48,50,78,120,135
"95","28JAN25 09:54:03 ",49,50,78,125,140
"96","28JAN25 09:54:04 ",50,53,78,125,140
"97","28JAN25 09:54:05 ",52,53,78,125,140
"98","28JAN25 09:54:06 ",60,73,70,125,140
"99","28JAN25 09:54:07 ",65,74,67,125,140
"100","28JAN25 09:54:08 ",72,75,66,125,140
"102","28JAN25 09:54:09 ",73,76,66,125,140
"103","28JAN25 09:54:10 ",74,76,66,125,140
"104","28JAN25 09:54:11 ",76,78,66,125,140
"105","28JAN25 09:54:12 ",76,77,68,120,135
"106","28JAN25 09:54:13 ",77,80,68,120,135
"107","28JAN25 09:54:15 ",79,81,68,120,135
"108","28JAN25 09:54:16 ",81,82,68,120,135
"109","28JAN25 09:54:17 ",82,84,68,120,135
"110","28JAN25 09:54:18 ",83,84,68,120,135
"111","28JAN25 09:54:19 ",85,87,68,120,135
"112","28JAN25 09:54:20 ",87,89,68,125,140
"113","28JAN25 09:54:21 ",88,89,68,125,140
"114","28JAN25 09:54:22 ",89,91,68,125,140
"115","28JAN25 09:54:23 ",92,95,67,125,140
"116","28JAN25 09:54:24 ",93,95,67,125,140
"117","28JAN25 09:54:25 ",96,98,67,125,140
"118","28JAN25 09:54:26 ",98,100,67,125,140
"119","28JAN25 09:54:27 ",100,100,68,125,140
"120","28JAN25 09:54:28 ",100,100,68,125,140
"121","28JAN25 09:54:29 ",100,100,68,125,140
"122","28JAN25 09:54:30 ",100,100,68,125,140
"123","28JAN25 09:54:31 ",100,100,68,125,140
"124","28JAN25 09:54:32 ",100,100,68,125,140
"125","28JAN25 09:54:33 ",100,100,68,125,140
"126","28JAN25 09:54:34 ",100,100,68,125,140
"127","28JAN25 09:54:35 ",100,100,68,125,140
"128","28JAN25 09:54:36 ",100,100,68,125,140
"129","28JAN25 09:54:37 ",100,100,68,125,140
"130","28JAN25 09:54:38 ",100,100,68,125,140
"131","28JAN25 09:54:39 ",100,100,68,125,140
"132","28JAN25 09:54:40 ",100,100,68,125,140
"133","28JAN25 09:54:41 ",100,100,68,125,140
"134","28JAN25 09:54:42 ",100,100,68,125,140
"135","28JAN25 09:54:43 ",100,100,68,125,140
"136","28JAN25 09:54:44 ",100,100,68,125,140
"137","28JAN25 09:54:45 ",100,100,68,125,140
"138","28JAN25 09:54:46 ",100,100,68,125,140
"139","28JAN25 09:54:47 ",100,100,68,125,140
"140","28JAN25 09:54:48 ",100,100,68,125,140
"141","28JAN25 09:54:49 ",100,100,68,125,140
"142","28JAN25 09:54:50 ",100,100,68,125,140
"143","28JAN25 09:54:51 ",100,100,68,125,140
"144","28JAN25 09:54:52 ",100,100,68,125,140
"145","28JAN25 09:54:53 ",100,100,68,125,140
"146","28JAN25 09:54:54 ",100,100,68,125,140
"147","28JAN25 09:54:55 ",100,100,68,125,140
"148","28JAN25 09:54:56 ",100,100,68,125,140
"149","28JAN25 09:54:57 ",100,100,68,125,140
"150","28JAN25 09:54:58 ",100,100,68,125,140
"151","28JAN25 09:54:59 ",100,100,68,125,140
"152","28JAN25 09:55:00 ",100,100,68,125,140
"153","28JAN25 09:55:01 ",100,100,68,125,140
"154","28JAN25 09:55:02 ",100,100,68,125,140
"155","28JAN25 09:55:03 ",100,100,68,125,140
"156","28JAN25 09:55:04 ",100,100,68,125,140
"157","28JAN25 09:55:05 ",100,100,68,125,140
"158","28JAN25 09:55:06 ",100,100,68,125,140
"159","28JAN25 09:55:07 ",100,100,68,125,140
"160","28JAN25 09:55:08 ",100,100,68,125,140
"162","28JAN25 09:55:09 ",100,100,68,125,140
"163","28JAN25 09:55:10 ",100,100,68,125,140
"164","28JAN25 09:55:11 ",100,100,68,125,140
"165","28JAN25 09:55:12 ",100,100,68,125,140
"166","28JAN25 09:55:13 ",100,100,68,125,140
"167","28JAN25 09:55:14 ",100,100,68,125,140
"168","28JAN25 09:55:16 ",100,100,68,125,140
"169","28JAN25 09:55:17 ",100,100,68,125,140
"170","28JAN25 09:55:18 ",100,100,68,125,140
"171","28JAN25 09:55:19 ",100,100,68,125,140
"172","28JAN25 09:55:20 ",100,100,68,125,140
"173","28JAN25 09:55:21 ",100,100,68,125,140
"174","28JAN25 09:55:22 ",100,100,68,125,140
"175","28JAN25 09:55:23 ",100,100,68,125,140
"176","28JAN25 09:55:24 ",100,100,68,125,140
"177","28JAN25 09:55:25 ",100,100,68,125,140
"178","28JAN25 09:55:26 ",100,100,68,125,140
"179","28JAN25 09:55:27 ",100,100,68,125,140
"180","28JAN25 09:55:28 ",100,100,68,125,140
"181","28JAN25 09:55:29 ",100,100,68,125,140
"182","28JAN25 09:55:30 ",100,100,68,125,140
"183","28JAN25 09:55:31 ",100,100,68,125,140
"184","28JAN25 09:55:32 ",100,100,68,125,140
"185","28JAN25 09:55:33 ",100,100,68,125,140
"186","28JAN25 09:55:34 ",100,100,68,125,140
"187","28JAN25 09:55:35 ",100,100,68,125,140
"188","28JAN25 09:55:36 ",100,100,68,125,140
"189","28JAN25 09:55:37 ",100,100,68,125,140
"190","28JAN25 09:55:38 ",100,100,68,125,140
"191","28JAN25 09:55:39 ",100,100,68,125,140
"192","28JAN25 09:55:40 ",100,100,68,125,140
"193","28JAN25 09:55:41 ",100,100,68,125,140
"194","28JAN25 09:55:42 ",100,100,68,125,140
"195","28JAN25 09:55:43 ",100,100,68,125,140
"196","28JAN25 09:55:44 ",100,100,68,125,140
"197","28JAN25 09:55:45 ",100,100,68,125,140
"198","28JAN25 09:55:46 ",100,100,68,125,140
"199","28JAN25 09:55:47 ",100,100,68,125,140
"200","28JAN25 09:55:48 ",100,100,68,125,140
"201","28JAN25 09:55:49 ",100,100,68,125,140
"202","28JAN25 09:55:50 ",100,100,68,125,140
"203","28JAN25 09:55:51 ",100,100,68,125,140
"204","28JAN25 09:55:52 ",100,100,68,125,140
"205","28JAN25 09:55:53 ",100,100,68,125,140
"206","28JAN25 09:55:54 ",100,100,68,125,140
"207","28JAN25 09:55:55 ",100,100,68,125,140
"208","28JAN25 09:55:56 ",100,100,68,125,140
"209","28JAN25 09:55:57 ",100,100,68,125,140
"210","28JAN25 09:55:58 ",100,100,68,125,140
"211","28JAN25 09:55:59 ",100,100,68,125,140
"212","28JAN25 09:56:00 ",100,100,68,125,140
"213","28JAN25 09:56:01 ",100,100,68,125,140
"214","28JAN25 09:56:02 ",100,100,68,125,140
"215","28JAN25 09:56:03 ",100,100,68,125,140
"216","28JAN25 09:56:04 ",100,100,68,125,140
"217","28JAN25 09:56:05 ",100,100,68,125,140
"218","28JAN25 09:56:06 ",100,100,68,125,140
"219","28JAN25 09:56:07 ",100,100,68,125,140
"220","28JAN25 09:56:08 ",100,100,68,125,140
"221","28JAN25 09:56:09 ",100,100,68,125,140
"222","28JAN25 09:56:10 ",100,100,68,125,140
"223","28JAN25 09:56:11 ",100,100,68,125,140
"224","28JAN25 09:56:12 ",100,100,68,125,140
"225","28JAN25 09:56:13 ",100,100,68,125,140
"226","28JAN25 09:56:14 ",100,100,68,125,140
"227","28JAN25 09:56:15 ",100,100,68,125,140
"228","28JAN25 09:56:16 ",100,100,68,125,140
"229","28JAN25 09:56:17 ",100,100,68,125,140
"230","28JAN25 09:56:18 ",100,100,68,125,140
"231","28JAN25 09:56:19 ",100,100,68,125,140
"232","28JAN25 09:56:20 ",100,100,68,125,140
"233","28JAN25 09:56:21 ",100,100,68,125,140
"234","28JAN25 09:56:22 ",100,100,68,125,140
"235","28JAN25 09:56:23 ",100,100,68,125,140
"236","28JAN25 09:56:24 ",100,100,68,125,140
"237","28JAN25 09:56:25 ",100,100,68,125,140
"238","28JAN25 09:56:26 ",100,100,68,125,140
"239","28JAN25 09:56:27 ",100,100,68,125,140
"240","28JAN25 09:56:28 ",100,100,68,125,140
"241","28JAN25 09:56:29 ",100,100,68,125,140
"242","28JAN25 09:56:30 ",100,100,68,125,140
"243","28JAN25 09:56:31 ",100,100,68,125,140
"244","28JAN25 09:56:32 ",100,100,68,125,140
"245","28JAN25 09:56:33 ",100,100,68,125,140
"246","28JAN25 09:56:34 ",100,100,68,125,140
"247","28JAN25 09:56:35 ",100,100,68,125,140
"248","28JAN25 09:56:36 ",100,100,68,125,140
"249","28JAN25 09:56:37 ",100,100,68,125,140
"250","28JAN25 09:56:38 ",100,100,68,125,140
"251","28JAN25 09:56:39 ",100,100,68,125,140
"252","28JAN25 09:56:40 ",100,100,68,125,140
"253","28JAN25 09:56:41 ",100,100,68,125,140
"254","28JAN25 09:56:42 ",100,100,68,125,140
"255","28JAN25 09:56:43 ",100,100,68,125,140
"256","28JAN25 09:56:44 ",100,100,68,125,140
"257","28JAN25 09:56:45 ",100,100,68,125,140
"258","28JAN25 09:56:46 ",100,100,68,125,140
"259","28JAN25 09:56:47 ",100,100,68,125,140
"260","28JAN25 09:56:48 ",100,100,68,125,140
"261","28JAN25 09:56:49 ",100,100,68,125,140
"262","28JAN25 09:56:50 ",100,100,68,125,140
"263","28JAN25 09:56:51 ",100,100,68,125,140
"264","28JAN25 09:56:52 ",100,100,68,125,140
"265","28JAN25 09:56:53 ",100,100,68,125,140
"266","28JAN25 09:56:54 ",100,100,68,125,140
"267","28JAN25 09:56:55 ",100,100,68,125,140
"268","28JAN25 09:56:56 ",100,100,68,125,140
"269","28JAN25 09:56:57 ",100,100,68,125,140
