DATE, TIME, TRACK NUM, EZ, EX, SPEED (mph), 
16APR24, 17:21:50.4, Track 1, 99, 98, 34, 
16APR24, 17:22:02.0, Track 1, 102, 97, 12, 
16APR24, 17:22:12.4, Track 1, 99, 98, 17, 
16APR24, 17:22:27.2, Track 1, 102, 97, 8, 
16APR24, 17:22:41.2, Track 1, 98, 98, 26, 
16APR24, 17:22:50.3, Track 1, 101, 97, 119, 
16APR24, 17:23:05.1, Track 1, 98, 98, 34, 
16APR24, 17:23:39.3, Track 1, 101, 97, 60, 
16APR24, 17:23:55.3, Track 1, 98, 98, 42, 
16APR24, 17:24:08.1, Track 1, 101, 97, 33, 
16APR24, 17:24:46.8, Track 1, 98, 98, 27, 
16APR24, 17:24:56.3, Track 1, 101, 97, , 
16APR24, 17:25:12.3, Track 1, 98, 98, 38, 
16APR24, 17:25:30.7, Track 1, 101, 98, 20, 
16APR24, 17:25:36.6, Track 1, 98, 98, 47, 
16APR24, 17:25:48.6, Track 1, 101, 97, 8, 
16APR24, 17:26:54.0, Track 1, 98, 98, 36, 
16APR24, 17:27:02.7, Track 1, 101, 97, 39, 
16APR24, 17:33:54.4, Track 1, 92, 100, 43, 
16APR24, 17:33:57.9, Track 1, 89, 100, 59, 
16APR24, 17:34:01.5, Track 1, 86, 100, 50, 
16APR24, 17:34:04.7, Track 1, 83, 100, 61, 
16APR24, 17:34:09.4, Track 1, 80, 100, 49, 
16APR24, 17:34:12.7, Track 1, 77, 100, 61, 
16APR24, 17:34:15.5, Track 1, 74, 100, 56, 
16APR24, 17:34:20.6, Track 1, 71, 100, 38, 
16APR24, 17:34:23.4, Track 1, 68, 100, 61, 
16APR24, 17:34:27.5, Track 1, 65, 100, 47, 
16APR24, 17:34:31.8, Track 1, 62, 100, 44, 
16APR24, 17:34:35.8, Track 1, 59, 100, 52, 
16APR24, 17:34:39.8, Track 1, 56, 101, 52, 
16APR24, 17:34:44.6, Track 1, 53, 100, 37, 
16APR24, 17:34:48.2, Track 1, 50, 101, 52, 
16APR24, 17:34:52.5, Track 1, 47, 101, 48, 
16APR24, 17:34:57.8, Track 1, 44, 101, 43, 
16APR24, 17:35:02.2, Track 1, 41, 101, 39, 
16APR24, 17:35:06.9, Track 1, 38, 101, 41, 
16APR24, 17:35:11.3, Track 1, 35, 101, 43, 
16APR24, 17:35:16.6, Track 1, 32, 101, 42, 
16APR24, 17:35:20.6, Track 3, 97, 99, 29, 
16APR24, 17:35:21.8, Track 1, 29, 102, 38, 
16APR24, 17:35:27.3, Track 1, 26, 101, 34, 
16APR24, 17:35:28.6, Track 3, 100, 99, 40, 
16APR24, 17:35:33.0, Track 1, 23, 102, 34, 
16APR24, 17:35:38.2, Track 1, 20, 102, 33, 
16APR24, 17:35:44.1, Track 1, 17, 102, 32, 
16APR24, 17:35:50.6, Track 1, 14, 102, 30, 
16APR24, 17:35:57.0, Track 1, 11, 102, 29, 
16APR24, 17:36:03.8, Track 1, 8, 102, 28, 
16APR24, 17:36:18.6, Track 1, 2, 102, 26, 
16APR24, 17:36:39.3, Track 3, 97, 99, 20, 
16APR24, 17:36:41.8, Track 3, 100, 98, 40, 
16APR24, 17:36:49.3, Track 2, 76, 100, 32, 
16APR24, 17:36:49.7, Track 2, 51, 100, , 
16APR24, 17:36:50.1, Track 2, 26, 100, , 
16APR24, 17:37:22.1, Track 4, 95, 103, 29, 
16APR24, 17:37:26.5, Track 4, 92, 103, 39, 
16APR24, 17:37:30.4, Track 4, 89, 103, 41, 
16APR24, 17:37:35.2, Track 4, 86, 103, 42, 
16APR24, 17:37:38.9, Track 4, 83, 103, 43, 
16APR24, 17:37:42.9, Track 4, 80, 103, 43, 
16APR24, 17:37:46.8, Track 4, 77, 103, 44, 
16APR24, 17:37:50.9, Track 4, 74, 103, 45, 
16APR24, 17:37:54.8, Track 4, 71, 103, 45, 
16APR24, 17:37:55.2, Track 1, 5, 102, , 
16APR24, 17:37:58.4, Track 4, 68, 103, 46, 
16APR24, 17:38:01.2, Track 1, 8, 102, 31, 
16APR24, 17:38:02.4, Track 4, 65, 103, 48, 
16APR24, 17:38:04.8, Track 1, 11, 102, 33, 
16APR24, 17:38:05.6, Track 1, 15, 102, 71, 
16APR24, 17:38:05.6, Track 4, 62, 103, 49, 
16APR24, 17:38:06.1, Track 1, 29, 102, , 
16APR24, 17:38:06.7, Track 1, 49, 102, , 
16APR24, 17:38:07.1, Track 1, 70, 102, , 
16APR24, 17:38:07.5, Track 1, 87, 102, , 
16APR24, 17:38:07.9, Track 1, 96, 102, , 
16APR24, 17:38:09.1, Track 2, 4, 100, , 
16APR24, 17:38:09.5, Track 4, 59, 103, 48, 
16APR24, 17:38:10.8, Track 1, 97, 99, , 
16APR24, 17:38:12.7, Track 2, 7, 100, 49, 
16APR24, 17:38:13.2, Track 4, 56, 103, 48, 
16APR24, 17:38:14.0, Track 1, 100, 98, 67, 
16APR24, 17:38:16.8, Track 4, 53, 103, 51, 
16APR24, 17:38:17.2, Track 2, 10, 100, 43, 
16APR24, 17:38:19.9, Track 4, 50, 103, 53, 
16APR24, 17:38:20.7, Track 2, 13, 100, 44, 
16APR24, 17:38:23.5, Track 4, 47, 102, 48, 
16APR24, 17:38:25.2, Track 2, 16, 100, 41, 
16APR24, 17:38:26.6, Track 4, 44, 103, 56, 
16APR24, 17:38:28.6, Track 2, 19, 100, 46, 
16APR24, 17:38:29.9, Track 4, 41, 103, 56, 
16APR24, 17:38:33.1, Track 4, 38, 103, 55, 
16APR24, 17:38:33.5, Track 2, 22, 100, 41, 
16APR24, 17:38:36.3, Track 4, 35, 103, 55, 
16APR24, 17:38:37.1, Track 2, 25, 100, 43, 
16APR24, 17:38:39.1, Track 4, 32, 102, 55, 
16APR24, 17:38:40.8, Track 2, 28, 100, 48, 
16APR24, 17:38:42.3, Track 4, 29, 103, 62, 
16APR24, 17:38:44.7, Track 2, 31, 100, 45, 
16APR24, 17:38:45.2, Track 4, 26, 103, 59, 
16APR24, 17:38:48.3, Track 4, 23, 103, 60, 
16APR24, 17:38:49.1, Track 2, 34, 100, 44, 
16APR24, 17:38:50.7, Track 4, 20, 102, 57, 
