"Count","DateTime","T1 Ez","T1 CheckEz","T1 Ex","T1 Prime","T1 DAX A","T2 Ez","T2 CheckEz","T2 Ex","T2 Prime","T2 DAX A","T3 Ez","T3 CheckEz","T3 Ex","T3 Prime","T3 DAX A"
"65","20JAN25 17:46:06 ",0,0,100,120,135,61,61,90,150,165,0,0,100,180,195
"66","20JAN25 17:46:07 ",0,0,100,120,135,59,58,90,150,165,0,0,100,180,195
"67","20JAN25 17:46:08 ",0,0,100,120,135,57,57,90,150,165,0,0,100,180,195
"68","20JAN25 17:46:09 ",0,0,100,120,135,55,55,90,150,165,0,0,100,180,195
"69","20JAN25 17:46:10 ",0,0,100,120,135,54,54,90,150,165,0,0,100,180,195
"70","20JAN25 17:46:11 ",0,0,100,120,135,53,53,91,150,165,0,0,100,180,195
"71","20JAN25 17:46:12 ",0,0,100,120,135,52,52,91,150,165,0,0,100,180,195
"72","20JAN25 17:46:13 ",0,0,100,120,135,52,53,91,150,165,0,0,100,180,195
"73","20JAN25 17:46:14 ",0,0,100,120,135,52,52,92,150,165,0,0,100,180,195
"74","20JAN25 17:46:15 ",0,0,100,120,135,50,49,92,150,165,0,0,100,180,195
"75","20JAN25 17:46:16 ",0,0,100,120,135,49,49,92,150,165,0,0,100,180,195
"76","20JAN25 17:46:17 ",0,0,100,120,135,47,47,93,150,165,0,0,100,180,195
"77","20JAN25 17:46:18 ",0,0,100,120,135,43,38,90,150,165,0,0,100,180,195
"78","20JAN25 17:46:19 ",0,0,100,120,135,38,38,85,150,165,0,0,100,180,195
"79","20JAN25 17:46:20 ",0,0,100,120,135,35,37,83,150,165,0,0,100,180,195
"80","20JAN25 17:46:21 ",0,0,100,120,135,35,36,82,150,165,0,0,100,180,195
"81","20JAN25 17:46:22 ",0,0,100,120,135,33,35,82,150,165,0,0,100,180,195
"82","20JAN25 17:46:23 ",0,0,100,120,135,32,34,81,150,165,0,0,100,180,195
"83","20JAN25 17:46:24 ",0,0,100,120,135,31,32,81,150,165,0,0,100,180,195
"84","20JAN25 17:46:25 ",0,0,100,120,135,30,32,80,150,165,0,0,100,180,195
"85","20JAN25 17:46:26 ",0,0,100,120,135,29,30,80,150,165,0,0,100,180,195
"86","20JAN25 17:46:27 ",0,0,100,120,135,28,29,80,150,165,0,0,100,180,195
"87","20JAN25 17:46:28 ",0,0,100,120,135,26,28,80,150,165,0,0,100,180,195
"88","20JAN25 17:46:29 ",0,0,100,120,135,26,30,80,150,165,0,0,100,180,195
"89","20JAN25 17:46:30 ",0,0,100,120,135,28,30,79,150,165,0,0,100,180,195
"90","20JAN25 17:46:31 ",0,0,100,120,135,27,29,78,150,165,0,0,100,180,195
"91","20JAN25 17:46:32 ",0,0,100,120,135,27,29,78,150,165,0,0,100,180,195
"92","20JAN25 17:46:33 ",0,0,100,120,135,26,28,78,150,165,0,0,100,180,195
"93","20JAN25 17:46:34 ",0,0,100,120,135,25,27,78,150,165,0,0,100,180,195
"94","20JAN25 17:46:35 ",0,0,100,120,135,24,26,78,150,165,0,0,100,180,195
"95","20JAN25 17:46:36 ",0,0,100,120,135,23,25,77,150,165,0,0,100,180,195
"96","20JAN25 17:46:37 ",0,0,100,120,135,22,25,77,150,165,0,0,100,180,195
"97","20JAN25 17:46:38 ",0,0,100,120,135,21,24,76,150,165,0,0,100,180,195
"98","20JAN25 17:46:39 ",0,0,100,120,135,21,23,75,150,165,0,0,100,180,195
"99","20JAN25 17:46:40 ",0,0,100,120,135,20,22,74,150,165,0,0,100,180,195
"100","20JAN25 17:46:41 ",0,0,100,120,135,19,21,73,150,165,0,0,100,180,195
"101","20JAN25 17:46:42 ",0,0,100,120,135,18,20,70,150,165,0,0,100,180,195
"102","20JAN25 17:46:43 ",0,0,100,120,135,17,20,70,150,165,0,0,100,180,195
"103","20JAN25 17:46:44 ",0,0,100,120,135,16,19,69,150,165,0,0,100,180,195
"104","20JAN25 17:46:45 ",0,0,100,120,135,15,18,69,150,165,0,0,100,180,195
"105","20JAN25 17:46:46 ",0,0,100,120,135,15,18,68,150,165,0,0,100,180,195
"106","20JAN25 17:46:47 ",0,0,100,120,135,15,18,69,150,165,0,0,100,180,195
"107","20JAN25 17:46:48 ",0,0,100,120,135,15,18,71,150,165,0,0,100,180,195
"108","20JAN25 17:46:49 ",0,0,100,120,135,14,17,70,150,165,0,0,100,180,195
"109","20JAN25 17:46:50 ",0,0,100,120,135,13,16,69,150,165,0,0,100,180,195
"110","20JAN25 17:46:51 ",0,0,100,120,135,13,15,69,150,165,0,0,100,180,195
"111","20JAN25 17:46:52 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"112","20JAN25 17:46:53 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"113","20JAN25 17:46:54 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"114","20JAN25 17:46:55 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"115","20JAN25 17:46:56 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"116","20JAN25 17:46:57 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"117","20JAN25 17:46:58 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"118","20JAN25 17:46:59 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"119","20JAN25 17:47:00 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"120","20JAN25 17:47:01 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"121","20JAN25 17:47:02 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"122","20JAN25 17:47:03 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"123","20JAN25 17:47:04 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"124","20JAN25 17:47:05 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"125","20JAN25 17:47:06 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"127","20JAN25 17:47:07 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"128","20JAN25 17:47:08 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"129","20JAN25 17:47:09 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"130","20JAN25 17:47:10 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"131","20JAN25 17:47:11 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"132","20JAN25 17:47:12 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"133","20JAN25 17:47:13 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"134","20JAN25 17:47:14 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"135","20JAN25 17:47:15 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"136","20JAN25 17:47:16 ",0,0,100,120,135,12,15,68,150,165,0,0,100,180,195
"137","20JAN25 17:47:17 ",0,0,100,120,135,16,31,72,150,165,0,0,100,180,195
"138","20JAN25 17:47:18 ",0,0,100,120,135,60,96,83,155,170,0,0,100,180,195
"139","20JAN25 17:47:20 ",0,0,100,120,135,97,93,90,155,170,0,0,100,180,195
"140","20JAN25 17:47:21 ",0,0,100,120,135,92,91,90,155,170,0,0,100,180,195
"141","20JAN25 17:47:22 ",0,0,100,120,135,90,88,90,155,170,0,0,100,180,195
"142","20JAN25 17:47:23 ",0,0,100,120,135,88,87,90,155,170,0,0,100,180,195
"143","20JAN25 17:47:24 ",0,0,100,120,135,85,83,90,150,165,0,0,100,180,195
"144","20JAN25 17:47:25 ",0,0,100,120,135,83,82,90,150,165,0,0,100,180,195
"145","20JAN25 17:47:26 ",0,0,100,120,135,81,80,90,150,165,0,0,100,180,195
"146","20JAN25 17:47:27 ",0,0,100,120,135,79,77,90,150,165,0,0,100,180,195
"147","20JAN25 17:47:28 ",0,0,100,120,135,76,75,90,150,165,0,0,100,180,195
"148","20JAN25 17:47:29 ",0,0,100,120,135,76,77,90,150,165,0,0,100,180,195
"149","20JAN25 17:47:30 ",0,0,100,120,135,78,78,90,150,165,0,0,100,180,195
"150","20JAN25 17:47:31 ",0,0,100,120,135,77,76,90,150,165,0,0,100,180,195
"151","20JAN25 17:47:32 ",0,0,100,120,135,75,74,90,150,165,0,0,100,180,195
"152","20JAN25 17:47:33 ",0,0,100,120,135,73,72,90,150,165,0,0,100,180,195
"153","20JAN25 17:47:34 ",0,0,100,120,135,71,70,90,150,165,0,0,100,180,195
"154","20JAN25 17:47:35 ",0,0,100,120,135,70,68,90,150,165,0,0,100,180,195
"155","20JAN25 17:47:36 ",0,0,100,120,135,67,66,90,150,165,0,0,100,180,195
"156","20JAN25 17:47:37 ",0,0,100,120,135,66,66,90,150,165,0,0,100,180,195
"157","20JAN25 17:47:38 ",0,0,100,120,135,64,64,90,150,165,0,0,100,180,195
"158","20JAN25 17:47:39 ",0,0,100,120,135,63,62,90,150,165,0,0,100,180,195
"159","20JAN25 17:47:40 ",0,0,100,120,135,61,60,90,150,165,0,0,100,180,195
"160","20JAN25 17:47:41 ",0,0,100,120,135,59,59,90,150,165,0,0,100,180,195
"161","20JAN25 17:47:42 ",0,0,100,120,135,57,57,90,150,165,0,0,100,180,195
"162","20JAN25 17:47:43 ",0,0,100,120,135,56,56,90,150,165,0,0,100,180,195
"163","20JAN25 17:47:44 ",0,0,100,120,135,54,54,90,150,165,0,0,100,180,195
"164","20JAN25 17:47:45 ",0,0,100,120,135,53,53,90,150,165,0,0,100,180,195
"165","20JAN25 17:47:46 ",0,0,100,120,135,52,53,90,150,165,0,0,100,180,195
"166","20JAN25 17:47:47 ",0,0,100,120,135,52,54,90,150,165,0,0,100,180,195
"167","20JAN25 17:47:48 ",0,0,100,120,135,53,53,90,150,165,0,0,100,180,195
"168","20JAN25 17:47:49 ",0,0,100,120,135,53,53,90,150,165,0,0,100,180,195
"169","20JAN25 17:47:50 ",0,0,100,120,135,49,49,90,150,165,0,0,100,180,195
"170","20JAN25 17:47:51 ",0,0,100,120,135,49,49,90,150,165,0,0,100,180,195
"171","20JAN25 17:47:52 ",0,0,100,120,135,48,48,90,150,165,0,0,100,180,195
"172","20JAN25 17:47:53 ",0,0,100,120,135,42,39,90,150,165,0,0,100,180,195
"173","20JAN25 17:47:54 ",0,0,100,120,135,37,38,90,150,165,0,0,100,180,195
"174","20JAN25 17:47:55 ",0,0,100,120,135,36,38,90,150,165,0,0,100,180,195
"175","20JAN25 17:47:56 ",0,0,100,120,135,35,37,90,150,165,0,0,100,180,195
"176","20JAN25 17:47:57 ",0,0,100,120,135,34,35,90,150,165,0,0,100,180,195
"177","20JAN25 17:47:58 ",0,0,100,120,135,33,35,90,150,165,0,0,100,180,195
"178","20JAN25 17:47:59 ",0,0,100,120,135,32,33,90,150,165,0,0,100,180,195
"179","20JAN25 17:48:00 ",0,0,100,120,135,30,32,90,150,165,0,0,100,180,195
"180","20JAN25 17:48:01 ",0,0,100,120,135,29,30,90,150,165,0,0,100,180,195
"181","20JAN25 17:48:02 ",0,0,100,120,135,28,30,90,150,165,0,0,100,180,195
"182","20JAN25 17:48:03 ",0,0,100,120,135,27,29,90,150,165,0,0,100,180,195
"183","20JAN25 17:48:04 ",0,0,100,120,135,27,31,90,150,165,0,0,100,180,195
"184","20JAN25 17:48:05 ",0,0,100,120,135,28,31,90,150,165,0,0,100,180,195
"185","20JAN25 17:48:06 ",0,0,100,120,135,28,30,90,150,165,0,0,100,180,195
"186","20JAN25 17:48:07 ",0,0,100,120,135,27,28,90,150,165,0,0,100,180,195
"187","20JAN25 17:48:08 ",0,0,100,120,135,25,27,90,150,165,0,0,100,180,195
"188","20JAN25 17:48:09 ",0,0,100,120,135,25,27,90,150,165,0,0,100,180,195
"189","20JAN25 17:48:10 ",0,0,100,120,135,23,25,90,150,165,0,0,100,180,195
"190","20JAN25 17:48:11 ",0,0,100,120,135,22,25,90,150,165,0,0,100,180,195
"191","20JAN25 17:48:12 ",0,0,100,120,135,22,24,90,150,165,0,0,100,180,195
"192","20JAN25 17:48:13 ",0,0,100,120,135,21,24,90,150,165,0,0,100,180,195
"193","20JAN25 17:48:14 ",0,0,100,120,135,20,23,90,150,165,0,0,100,180,195
"194","20JAN25 17:48:15 ",0,0,100,120,135,19,21,90,150,165,0,0,100,180,195
"195","20JAN25 17:48:16 ",0,0,100,120,135,18,21,90,150,165,0,0,100,180,195
"196","20JAN25 17:48:17 ",0,0,100,120,135,17,20,90,150,165,0,0,100,180,195
"197","20JAN25 17:48:18 ",0,0,100,120,135,16,19,90,150,165,0,0,100,180,195
"198","20JAN25 17:48:19 ",0,0,100,120,135,15,18,90,150,165,0,0,100,180,195
"199","20JAN25 17:48:20 ",0,0,100,120,135,15,18,90,150,165,0,0,100,180,195
"200","20JAN25 17:48:21 ",0,0,100,120,135,15,18,90,150,165,0,0,100,180,195
"201","20JAN25 17:48:22 ",0,0,100,120,135,15,18,90,150,165,0,0,100,180,195
"202","20JAN25 17:48:23 ",0,0,100,120,135,15,17,90,150,165,0,0,100,180,195
"203","20JAN25 17:48:24 ",0,0,100,120,135,14,16,90,150,165,0,0,100,180,195
"204","20JAN25 17:48:25 ",0,0,100,120,135,12,15,90,150,165,0,0,100,180,195
"205","20JAN25 17:48:26 ",0,0,100,120,135,12,15,90,150,165,0,0,100,180,195
"206","20JAN25 17:48:27 ",0,0,100,120,135,12,15,90,150,165,0,0,100,180,195
"207","20JAN25 17:48:28 ",0,0,100,120,135,12,15,90,150,165,0,0,100,180,195
"208","20JAN25 17:48:29 ",0,0,100,120,135,12,15,90,150,165,0,0,100,180,195
"210","20JAN25 17:48:30 ",0,0,100,120,135,12,15,90,150,165,0,0,100,180,195
