"Count","DateTime","T2 Ez","T2 CheckEz","T2 Ex","T2 Prime","T2 DAX A"
"0","28JAN25 08:40:11 ",100,100,82,125,140
"1","28JAN25 08:40:12 ",100,100,82,125,140
"2","28JAN25 08:40:13 ",100,100,82,125,140
"3","28JAN25 08:40:14 ",100,100,82,125,140
"4","28JAN25 08:40:15 ",100,100,82,125,140
"5","28JAN25 08:40:16 ",100,100,82,125,140
"6","28JAN25 08:40:17 ",100,100,82,125,140
"7","28JAN25 08:40:18 ",100,100,82,125,140
"8","28JAN25 08:40:19 ",100,100,82,125,140
"9","28JAN25 08:40:20 ",100,100,82,125,140
"10","28JAN25 08:40:21 ",100,100,82,125,140
"11","28JAN25 08:40:22 ",100,100,82,125,140
"12","28JAN25 08:40:23 ",100,100,82,125,140
"13","28JAN25 08:40:24 ",100,100,82,125,140
"14","28JAN25 08:40:25 ",100,100,82,125,140
"15","28JAN25 08:40:26 ",100,100,82,125,140
"16","28JAN25 08:40:27 ",100,100,82,125,140
"17","28JAN25 08:40:28 ",100,99,82,125,140
"18","28JAN25 08:40:29 ",100,100,82,125,140
"19","28JAN25 08:40:30 ",100,100,82,125,140
"20","28JAN25 08:40:31 ",100,100,82,125,140
"21","28JAN25 08:40:32 ",100,100,82,125,140
"22","28JAN25 08:40:33 ",100,100,82,125,140
"23","28JAN25 08:40:34 ",100,100,82,125,140
"24","28JAN25 08:40:35 ",100,100,82,125,140
"25","28JAN25 08:40:36 ",100,100,82,125,140
"26","28JAN25 08:40:37 ",100,100,82,125,140
"27","28JAN25 08:40:38 ",100,100,82,125,140
"28","28JAN25 08:40:39 ",100,100,82,125,140
"29","28JAN25 08:40:40 ",100,100,82,125,140
"30","28JAN25 08:40:41 ",100,100,82,125,140
"31","28JAN25 08:40:42 ",100,100,82,125,140
"32","28JAN25 08:40:43 ",100,100,82,125,140
"33","28JAN25 08:40:44 ",100,100,82,125,140
"34","28JAN25 08:40:45 ",100,100,82,125,140
"35","28JAN25 08:40:46 ",100,100,82,125,140
"36","28JAN25 08:40:47 ",100,100,82,125,140
"37","28JAN25 08:40:48 ",100,100,82,125,140
"38","28JAN25 08:40:49 ",100,100,82,125,140
"39","28JAN25 08:40:50 ",100,100,82,125,140
"40","28JAN25 08:40:51 ",100,100,82,125,140
"41","28JAN25 08:40:52 ",100,100,82,125,140
"42","28JAN25 08:40:53 ",100,100,82,125,140
"43","28JAN25 08:40:54 ",84,65,82,125,140
"44","28JAN25 08:40:55 ",75,64,83,125,140
"45","28JAN25 08:40:56 ",63,61,83,125,140
"46","28JAN25 08:40:57 ",62,61,83,125,140
"47","28JAN25 08:40:59 ",61,60,83,120,135
"48","28JAN25 08:41:00 ",60,59,83,120,135
"49","28JAN25 08:41:01 ",59,59,83,120,135
"50","28JAN25 08:41:02 ",59,59,83,120,135
"51","28JAN25 08:41:03 ",69,97,83,120,135
"52","28JAN25 08:41:04 ",89,99,82,120,135
"53","28JAN25 08:41:05 ",99,99,82,120,135
"54","28JAN25 08:41:06 ",99,99,82,120,135
"55","28JAN25 08:41:07 ",99,99,82,120,135
"56","28JAN25 08:41:08 ",99,99,82,120,135
"57","28JAN25 08:41:09 ",99,99,82,120,135
"58","28JAN25 08:41:10 ",99,99,82,120,135
"59","28JAN25 08:41:11 ",99,99,82,120,135
"60","28JAN25 08:41:12 ",99,99,82,120,135
"61","28JAN25 08:41:13 ",99,99,82,120,135
"62","28JAN25 08:41:14 ",99,99,82,120,135
