"Count","DateTime","T2 Ez","T2 CheckEz","T2 Ex","T2 Prime","T2 DAX A"
"0","24JAN25 18:20:57 ",98,98,84,120,135
"1","24JAN25 18:20:58 ",98,98,84,120,135
"2","24JAN25 18:20:59 ",98,98,84,120,135
"3","24JAN25 18:21:00 ",98,98,84,120,135
"4","24JAN25 18:21:01 ",98,98,84,120,135
"5","24JAN25 18:21:02 ",98,98,84,120,135
"6","24JAN25 18:21:03 ",98,98,84,120,135
"7","24JAN25 18:21:04 ",98,98,84,120,135
"8","24JAN25 18:21:05 ",98,98,84,120,135
"9","24JAN25 18:21:06 ",98,98,84,120,135
"10","24JAN25 18:21:07 ",98,98,84,120,135
"11","24JAN25 18:21:08 ",98,98,84,120,135
"12","24JAN25 18:21:09 ",98,98,84,120,135
"13","24JAN25 18:21:10 ",98,98,84,120,135
"14","24JAN25 18:21:11 ",98,98,84,120,135
"15","24JAN25 18:21:12 ",98,98,84,120,135
"16","24JAN25 18:21:13 ",98,98,84,120,135
"17","24JAN25 18:21:14 ",98,98,84,120,135
"18","24JAN25 18:21:15 ",98,98,84,120,135
"19","24JAN25 18:21:16 ",98,98,84,120,135
"20","24JAN25 18:21:17 ",99,96,84,120,135
"21","24JAN25 18:21:18 ",99,96,83,120,135
"22","24JAN25 18:21:19 ",100,96,83,120,135
"23","24JAN25 18:21:20 ",100,96,83,120,135
"24","24JAN25 18:21:21 ",100,96,83,120,135
"25","24JAN25 18:21:22 ",100,96,83,120,135
"26","24JAN25 18:21:23 ",100,96,83,120,135
"27","24JAN25 18:21:24 ",100,96,83,120,135
"28","24JAN25 18:21:25 ",100,96,83,120,135
"29","24JAN25 18:21:26 ",100,96,83,120,135
"30","24JAN25 18:21:27 ",100,96,83,120,135
"31","24JAN25 18:21:28 ",100,96,83,120,135
"32","24JAN25 18:21:29 ",100,96,83,120,135
"33","24JAN25 18:21:30 ",100,96,83,120,135
"34","24JAN25 18:21:31 ",100,96,83,120,135
"35","24JAN25 18:21:32 ",100,96,83,120,135
"36","24JAN25 18:21:33 ",100,96,83,120,135
"37","24JAN25 18:21:34 ",100,100,83,120,135
"38","24JAN25 18:21:35 ",99,99,83,120,135
"39","24JAN25 18:21:36 ",98,98,83,120,135
"40","24JAN25 18:21:37 ",97,96,83,120,135
"41","24JAN25 18:21:38 ",95,94,83,120,135
"42","24JAN25 18:21:39 ",94,93,83,120,135
"43","24JAN25 18:21:40 ",93,92,83,120,135
"44","24JAN25 18:21:41 ",92,91,83,120,135
"45","24JAN25 18:21:42 ",90,90,83,120,135
"46","24JAN25 18:21:43 ",89,88,83,120,135
"47","24JAN25 18:21:44 ",88,88,83,120,135
"48","24JAN25 18:21:45 ",87,85,84,120,135
"49","24JAN25 18:21:46 ",85,84,84,120,135
"50","24JAN25 18:21:47 ",84,83,84,120,135
"51","24JAN25 18:21:48 ",83,82,84,120,135
"52","24JAN25 18:21:49 ",83,87,84,120,135
"53","24JAN25 18:21:50 ",86,88,84,120,135
"54","24JAN25 18:21:51 ",87,87,84,120,135
"55","24JAN25 18:21:52 ",86,86,84,120,135
"56","24JAN25 18:21:53 ",85,84,84,120,135
"57","24JAN25 18:21:54 ",83,82,84,120,135
"58","24JAN25 18:21:55 ",82,82,84,120,135
"59","24JAN25 18:21:56 ",81,81,84,120,135
"60","24JAN25 18:21:57 ",78,76,84,120,135
"61","24JAN25 18:21:58 ",76,76,84,120,135
"62","24JAN25 18:21:59 ",75,75,84,120,135
"63","24JAN25 18:22:00 ",74,74,84,120,135
"64","24JAN25 18:22:01 ",73,72,84,120,135
"65","24JAN25 18:22:02 ",71,71,84,120,135
"66","24JAN25 18:22:03 ",71,71,84,120,135
"67","24JAN25 18:22:04 ",69,69,84,120,135
"68","24JAN25 18:22:05 ",69,69,84,120,135
"69","24JAN25 18:22:06 ",68,68,84,120,135
"71","24JAN25 18:22:07 ",68,68,84,120,135
"72","24JAN25 18:22:09 ",67,67,84,120,135
"73","24JAN25 18:22:10 ",66,66,84,120,135
"74","24JAN25 18:22:11 ",64,64,84,120,135
"75","24JAN25 18:22:12 ",64,64,84,120,135
"76","24JAN25 18:22:13 ",63,63,84,120,135
"77","24JAN25 18:22:14 ",63,64,84,120,135
"78","24JAN25 18:22:15 ",66,67,84,120,135
"79","24JAN25 18:22:16 ",66,67,84,120,135
"80","24JAN25 18:22:17 ",65,65,84,120,135
"81","24JAN25 18:22:18 ",65,65,84,120,135
"82","24JAN25 18:22:19 ",63,63,84,120,135
"83","24JAN25 18:22:20 ",62,62,84,120,135
"84","24JAN25 18:22:21 ",61,61,84,120,135
"85","24JAN25 18:22:22 ",60,59,84,120,135
"86","24JAN25 18:22:23 ",58,58,85,120,135
"87","24JAN25 18:22:24 ",58,58,85,120,135
"88","24JAN25 18:22:25 ",57,57,85,120,135
"89","24JAN25 18:22:26 ",55,55,85,120,135
"90","24JAN25 18:22:27 ",54,55,85,120,135
"91","24JAN25 18:22:28 ",54,54,85,120,135
"92","24JAN25 18:22:29 ",53,54,85,120,135
"93","24JAN25 18:22:30 ",52,53,85,120,135
"94","24JAN25 18:22:31 ",52,52,85,120,135
"95","24JAN25 18:22:32 ",51,52,85,120,135
"96","24JAN25 18:22:33 ",50,50,85,120,135
"97","24JAN25 18:22:34 ",50,50,85,120,135
"98","24JAN25 18:22:35 ",49,49,85,120,135
"99","24JAN25 18:22:36 ",48,48,85,120,135
"100","24JAN25 18:22:37 ",47,48,85,120,135
"101","24JAN25 18:22:38 ",48,52,85,120,135
"102","24JAN25 18:22:39 ",56,72,85,120,135
"103","24JAN25 18:22:40 ",79,97,84,120,135
"104","24JAN25 18:22:41 ",96,96,83,120,135
"105","24JAN25 18:22:42 ",95,95,83,120,135
"106","24JAN25 18:22:43 ",95,94,83,120,135
"107","24JAN25 18:22:44 ",92,92,83,120,135
"108","24JAN25 18:22:45 ",91,90,83,120,135
"109","24JAN25 18:22:46 ",93,98,83,120,135
"110","24JAN25 18:22:47 ",96,98,83,120,135
"111","24JAN25 18:22:48 ",98,98,83,120,135
"112","24JAN25 18:22:49 ",98,98,83,120,135
"113","24JAN25 18:22:50 ",98,98,83,120,135
"114","24JAN25 18:22:51 ",98,98,83,120,135
"115","24JAN25 18:22:52 ",98,98,83,120,135
"116","24JAN25 18:22:53 ",98,98,83,120,135
"117","24JAN25 18:22:54 ",98,100,83,120,135
"118","24JAN25 18:22:55 ",99,100,83,120,135
"119","24JAN25 18:22:56 ",100,100,83,120,135
"120","24JAN25 18:22:57 ",100,100,83,120,135
"121","24JAN25 18:22:58 ",100,100,83,120,135
"122","24JAN25 18:22:59 ",100,100,83,120,135
"123","24JAN25 18:23:00 ",100,96,83,120,135
"124","24JAN25 18:23:01 ",100,99,83,120,135
"125","24JAN25 18:23:02 ",99,98,84,120,135
"126","24JAN25 18:23:03 ",99,98,84,120,135
"127","24JAN25 18:23:04 ",98,98,84,120,135
"128","24JAN25 18:23:05 ",98,98,84,120,135
"129","24JAN25 18:23:06 ",98,99,84,120,135
"130","24JAN25 18:23:07 ",98,99,84,120,135
"131","24JAN25 18:23:08 ",98,98,84,120,135
"132","24JAN25 18:23:09 ",98,99,84,120,135
"133","24JAN25 18:23:10 ",98,98,84,120,135
"134","24JAN25 18:23:11 ",98,98,84,120,135
"135","24JAN25 18:23:12 ",98,98,84,120,135
"136","24JAN25 18:23:13 ",98,98,84,120,135
"138","24JAN25 18:23:15 ",98,98,84,120,135
"139","24JAN25 18:23:16 ",98,98,84,120,135
"140","24JAN25 18:23:17 ",98,98,84,120,135
"141","24JAN25 18:23:18 ",98,98,84,120,135
"142","24JAN25 18:23:19 ",98,98,84,120,135
"143","24JAN25 18:23:20 ",98,98,84,120,135
"144","24JAN25 18:23:21 ",98,98,84,120,135
"145","24JAN25 18:23:22 ",98,98,84,120,135
"146","24JAN25 18:23:23 ",98,98,84,120,135
"147","24JAN25 18:23:24 ",98,98,84,120,135
"148","24JAN25 18:23:25 ",98,98,84,120,135
"149","24JAN25 18:23:26 ",98,98,84,120,135
"150","24JAN25 18:23:27 ",98,98,84,120,135
"151","24JAN25 18:23:28 ",98,98,84,120,135
"152","24JAN25 18:23:29 ",98,98,84,120,135
"153","24JAN25 18:23:30 ",98,98,84,120,135
"154","24JAN25 18:23:31 ",98,98,84,120,135
"155","24JAN25 18:23:32 ",98,98,84,120,135
"156","24JAN25 18:23:33 ",98,98,84,120,135
"157","24JAN25 18:23:34 ",98,98,84,120,135
"158","24JAN25 18:23:35 ",98,98,84,120,135
"159","24JAN25 18:23:36 ",98,98,84,120,135
"160","24JAN25 18:23:37 ",98,98,84,120,135
"161","24JAN25 18:23:38 ",98,98,84,120,135
"162","24JAN25 18:23:39 ",98,98,84,120,135
"163","24JAN25 18:23:40 ",98,98,84,120,135
"164","24JAN25 18:23:41 ",98,98,84,120,135
"165","24JAN25 18:23:42 ",98,98,84,120,135
"166","24JAN25 18:23:43 ",98,98,84,120,135
"167","24JAN25 18:23:44 ",98,98,84,120,135
"168","24JAN25 18:23:45 ",98,98,84,120,135
"169","24JAN25 18:23:46 ",98,97,84,120,135
"170","24JAN25 18:23:47 ",97,96,84,120,135
"171","24JAN25 18:23:48 ",96,95,84,120,135
"172","24JAN25 18:23:49 ",94,93,84,120,135
"173","24JAN25 18:23:50 ",93,92,84,120,135
"174","24JAN25 18:23:51 ",92,91,84,120,135
"175","24JAN25 18:23:52 ",91,90,84,120,135
"176","24JAN25 18:23:53 ",89,89,85,120,135
"177","24JAN25 18:23:54 ",88,88,85,120,135
"178","24JAN25 18:23:55 ",87,87,85,120,135
"179","24JAN25 18:23:56 ",86,85,85,120,135
"180","24JAN25 18:23:57 ",85,83,85,120,135
"181","24JAN25 18:23:58 ",83,82,85,120,135
"182","24JAN25 18:23:59 ",82,82,85,120,135
"183","24JAN25 18:24:00 ",81,82,85,120,135
"184","24JAN25 18:24:01 ",84,87,85,120,135
"185","24JAN25 18:24:02 ",86,86,85,120,135
"186","24JAN25 18:24:03 ",85,85,85,120,135
"187","24JAN25 18:24:04 ",84,84,85,120,135
"188","24JAN25 18:24:05 ",83,82,85,120,135
"189","24JAN25 18:24:06 ",81,81,85,120,135
"190","24JAN25 18:24:07 ",80,80,85,120,135
"191","24JAN25 18:24:08 ",78,75,85,120,135
"192","24JAN25 18:24:09 ",76,75,85,120,135
"193","24JAN25 18:24:10 ",74,74,85,120,135
"194","24JAN25 18:24:11 ",73,73,85,120,135
