"Count","DateTime","T2 Ez","T2 CheckEz","T2 Ex","T2 Prime","T2 DAX A"
"0","03FEB25 12:14:58 ",100,100,95,125,140
"1","03FEB25 12:14:59 ",100,100,95,125,140
"2","03FEB25 12:15:00 ",100,100,95,125,140
"3","03FEB25 12:15:01 ",100,100,95,125,140
"4","03FEB25 12:15:02 ",100,100,95,125,140
"5","03FEB25 12:15:03 ",100,100,95,125,140
"6","03FEB25 12:15:04 ",100,100,95,125,140
"7","03FEB25 12:15:05 ",100,100,95,125,140
"8","03FEB25 12:15:06 ",100,99,95,125,140
"9","03FEB25 12:15:07 ",100,99,95,125,140
"10","03FEB25 12:15:08 ",99,99,95,125,140
"11","03FEB25 12:15:09 ",99,98,95,125,140
"12","03FEB25 12:15:10 ",99,98,95,125,140
"13","03FEB25 12:15:11 ",98,98,95,125,140
"14","03FEB25 12:15:12 ",97,97,95,125,140
"15","03FEB25 12:15:13 ",95,94,96,125,140
"16","03FEB25 12:15:14 ",95,94,96,125,140
"17","03FEB25 12:15:15 ",93,93,96,125,140
"18","03FEB25 12:15:16 ",93,93,96,125,140
"19","03FEB25 12:15:17 ",92,91,96,125,140
"20","03FEB25 12:15:18 ",92,91,96,125,140
"21","03FEB25 12:15:19 ",91,90,96,125,140
"22","03FEB25 12:15:20 ",90,89,96,125,140
"23","03FEB25 12:15:21 ",89,88,96,125,140
"24","03FEB25 12:15:22 ",88,88,96,125,140
"25","03FEB25 12:15:23 ",88,87,96,125,140
"26","03FEB25 12:15:24 ",87,87,96,125,140
"27","03FEB25 12:15:25 ",87,86,96,125,140
"28","03FEB25 12:15:26 ",86,86,96,125,140
"29","03FEB25 12:15:27 ",86,85,96,125,140
"30","03FEB25 12:15:28 ",84,83,96,125,140
"31","03FEB25 12:15:29 ",83,82,96,125,140
"32","03FEB25 12:15:30 ",82,82,96,125,140
"33","03FEB25 12:15:31 ",82,81,96,125,140
"34","03FEB25 12:15:32 ",81,80,96,125,140
"35","03FEB25 12:15:33 ",80,80,96,125,140
"36","03FEB25 12:15:34 ",80,79,96,125,140
"37","03FEB25 12:15:35 ",79,78,97,125,140
"38","03FEB25 12:15:36 ",78,77,96,125,140
"39","03FEB25 12:15:37 ",78,77,96,125,140
"40","03FEB25 12:15:38 ",77,76,97,125,140
"41","03FEB25 12:15:39 ",76,76,97,125,140
"42","03FEB25 12:15:40 ",76,75,97,125,140
"43","03FEB25 12:15:41 ",75,74,97,125,140
"44","03FEB25 12:15:42 ",75,74,96,125,140
"45","03FEB25 12:15:43 ",74,74,95,125,140
"46","03FEB25 12:15:44 ",74,73,95,125,140
"47","03FEB25 12:15:45 ",74,73,95,125,140
"48","03FEB25 12:15:46 ",73,73,95,125,140
"49","03FEB25 12:15:47 ",73,72,95,125,140
"50","03FEB25 12:15:48 ",73,72,95,125,140
"51","03FEB25 12:15:49 ",71,70,95,125,140
"52","03FEB25 12:15:50 ",70,70,95,125,140
"53","03FEB25 12:15:51 ",70,70,95,125,140
"54","03FEB25 12:15:52 ",69,69,95,125,140
"55","03FEB25 12:15:53 ",69,68,95,125,140
"56","03FEB25 12:15:54 ",68,68,95,125,140
"57","03FEB25 12:15:55 ",68,67,95,125,140
"58","03FEB25 12:15:56 ",67,66,95,125,140
"59","03FEB25 12:15:57 ",66,66,95,125,140
"60","03FEB25 12:15:58 ",66,66,95,125,140
"61","03FEB25 12:15:59 ",66,65,95,125,140
"62","03FEB25 12:16:00 ",65,65,95,125,140
"63","03FEB25 12:16:01 ",65,65,95,125,140
"64","03FEB25 12:16:02 ",65,64,95,125,140
"65","03FEB25 12:16:03 ",63,62,95,125,140
"66","03FEB25 12:16:04 ",63,62,95,125,140
"67","03FEB25 12:16:05 ",62,62,95,125,140
"68","03FEB25 12:16:06 ",62,61,95,125,140
"69","03FEB25 12:16:07 ",62,61,95,125,140
"70","03FEB25 12:16:08 ",61,60,95,125,140
"71","03FEB25 12:16:09 ",60,60,96,125,140
"72","03FEB25 12:16:10 ",60,60,96,125,140
"73","03FEB25 12:16:11 ",59,58,96,125,140
"74","03FEB25 12:16:12 ",58,58,96,125,140
"75","03FEB25 12:16:13 ",58,58,96,125,140
"76","03FEB25 12:16:14 ",58,57,96,125,140
"77","03FEB25 12:16:15 ",57,57,96,125,140
"78","03FEB25 12:16:16 ",57,56,96,125,140
"79","03FEB25 12:16:17 ",56,56,96,125,140
"80","03FEB25 12:16:18 ",57,57,95,125,140
"81","03FEB25 12:16:19 ",57,56,94,125,140
"82","03FEB25 12:16:20 ",56,56,94,125,140
"83","03FEB25 12:16:21 ",56,56,94,125,140
"84","03FEB25 12:16:22 ",56,55,94,125,140
"85","03FEB25 12:16:23 ",55,55,94,125,140
"86","03FEB25 12:16:24 ",55,54,95,125,140
"87","03FEB25 12:16:25 ",54,53,95,125,140
"88","03FEB25 12:16:26 ",53,53,95,125,135
"89","03FEB25 12:16:27 ",53,53,95,125,135
"90","03FEB25 12:16:28 ",53,52,95,125,135
"91","03FEB25 12:16:29 ",52,52,95,125,135
"92","03FEB25 12:16:31 ",52,51,95,125,135
"93","03FEB25 12:16:32 ",51,51,95,125,135
"94","03FEB25 12:16:33 ",51,50,95,125,135
"95","03FEB25 12:16:34 ",50,50,94,125,135
"96","03FEB25 12:16:35 ",50,50,95,125,135
"97","03FEB25 12:16:36 ",50,49,94,125,135
"98","03FEB25 12:16:37 ",49,49,94,125,135
"99","03FEB25 12:16:38 ",49,49,94,125,135
"100","03FEB25 12:16:39 ",49,49,94,125,135
"101","03FEB25 12:16:40 ",48,47,95,125,135
"102","03FEB25 12:16:41 ",47,47,95,125,135
"103","03FEB25 12:16:42 ",47,47,95,125,135
"104","03FEB25 12:16:43 ",47,46,95,125,135
"105","03FEB25 12:16:44 ",46,46,95,125,135
"106","03FEB25 12:16:45 ",46,46,95,125,135
"107","03FEB25 12:16:46 ",46,45,95,125,135
"108","03FEB25 12:16:47 ",45,44,96,125,135
"109","03FEB25 12:16:48 ",44,44,95,125,135
"110","03FEB25 12:16:49 ",44,44,95,125,135
"111","03FEB25 12:16:50 ",44,44,95,125,135
"112","03FEB25 12:16:51 ",43,43,96,125,135
