"Count","DateTime","T1 Ez","T1 CheckEz","T1 Ex","T1 Prime","T1 DAX A"
"117","28JAN25 07:38:40 ",8,9,79,120,135
"118","28JAN25 07:38:41 ",7,8,79,120,135
"119","28JAN25 07:38:42 ",7,8,79,120,135
"120","28JAN25 07:38:43 ",7,8,79,120,135
"121","28JAN25 07:38:44 ",7,8,79,120,135
"122","28JAN25 07:38:45 ",7,7,79,120,135
"123","28JAN25 07:38:46 ",6,7,79,120,135
"124","28JAN25 07:38:47 ",6,7,79,120,135
"125","28JAN25 07:38:48 ",6,6,79,120,135
"126","28JAN25 07:38:49 ",6,6,79,120,135
"127","28JAN25 07:38:50 ",5,6,79,120,135
"128","28JAN25 07:38:51 ",5,5,79,120,135
"129","28JAN25 07:38:52 ",5,5,79,120,135
"130","28JAN25 07:38:53 ",4,5,79,120,135
"131","28JAN25 07:38:54 ",4,5,79,120,135
"132","28JAN25 07:38:55 ",4,4,79,120,135
"133","28JAN25 07:38:56 ",4,4,79,120,135
"134","28JAN25 07:38:57 ",3,4,79,120,135
"135","28JAN25 07:38:58 ",3,4,79,120,135
"136","28JAN25 07:38:59 ",3,3,79,120,135
"137","28JAN25 07:39:00 ",3,3,79,120,135
"138","28JAN25 07:39:01 ",3,3,79,120,135
"139","28JAN25 07:39:02 ",3,3,79,120,135
"140","28JAN25 07:39:03 ",2,3,79,120,135
"141","28JAN25 07:39:04 ",2,3,79,120,135
"142","28JAN25 07:39:05 ",2,3,79,120,135
"143","28JAN25 07:39:06 ",2,3,79,120,135
"144","28JAN25 07:39:07 ",3,3,79,120,135
"145","28JAN25 07:39:08 ",3,3,79,120,135
"146","28JAN25 07:39:09 ",3,4,79,120,135
"147","28JAN25 07:39:10 ",3,4,79,120,135
"148","28JAN25 07:39:11 ",3,4,79,120,135
"149","28JAN25 07:39:12 ",3,4,79,120,135
"150","28JAN25 07:39:13 ",4,4,79,120,135
"151","28JAN25 07:39:14 ",4,4,79,120,135
"152","28JAN25 07:39:15 ",4,5,79,120,135
"153","28JAN25 07:39:16 ",5,6,79,120,135
"154","28JAN25 07:39:17 ",5,6,79,120,135
"155","28JAN25 07:39:18 ",5,6,79,120,135
"156","28JAN25 07:39:19 ",5,6,79,120,135
"157","28JAN25 07:39:20 ",5,6,79,120,135
"158","28JAN25 07:39:21 ",6,7,79,120,135
"159","28JAN25 07:39:22 ",6,7,79,120,135
"160","28JAN25 07:39:23 ",6,7,79,120,135
"161","28JAN25 07:39:24 ",6,7,79,120,135
"162","28JAN25 07:39:25 ",7,8,79,120,135
"163","28JAN25 07:39:26 ",7,8,79,120,135
"164","28JAN25 07:39:27 ",7,8,79,120,135
"165","28JAN25 07:39:28 ",7,8,79,120,135
"166","28JAN25 07:39:29 ",8,9,79,120,135
"167","28JAN25 07:39:30 ",8,9,79,120,135
"168","28JAN25 07:39:31 ",8,9,79,120,135
"169","28JAN25 07:39:32 ",8,9,79,120,135
"170","28JAN25 07:39:33 ",9,10,79,120,135
"171","28JAN25 07:39:34 ",9,10,79,120,135
"172","28JAN25 07:39:35 ",9,10,79,120,135
"173","28JAN25 07:39:36 ",9,11,79,120,135
"174","28JAN25 07:39:37 ",10,11,79,120,135
"175","28JAN25 07:39:38 ",10,11,79,120,135
"176","28JAN25 07:39:39 ",10,11,79,120,135
"177","28JAN25 07:39:40 ",11,12,79,120,135
"178","28JAN25 07:39:41 ",11,12,79,120,135
"179","28JAN25 07:39:42 ",11,12,79,120,135
"180","28JAN25 07:39:43 ",11,12,79,120,135
"181","28JAN25 07:39:44 ",12,12,79,120,135
"182","28JAN25 07:39:45 ",12,12,79,120,135
"183","28JAN25 07:39:46 ",12,12,79,120,135
"184","28JAN25 07:39:47 ",12,12,79,120,135
"185","28JAN25 07:39:48 ",12,13,79,120,135
"186","28JAN25 07:39:49 ",12,13,79,120,135
"187","28JAN25 07:39:51 ",12,13,79,120,135
"188","28JAN25 07:39:52 ",12,13,79,120,135
"189","28JAN25 07:39:53 ",13,14,79,120,135
"190","28JAN25 07:39:54 ",13,14,79,120,135
"191","28JAN25 07:39:55 ",13,14,79,120,135
"192","28JAN25 07:39:56 ",13,14,79,120,135
"193","28JAN25 07:39:57 ",14,15,79,120,135
"194","28JAN25 07:39:58 ",14,15,79,120,135
"195","28JAN25 07:39:59 ",14,15,79,120,135
"196","28JAN25 07:40:00 ",14,15,79,120,135
"197","28JAN25 07:40:01 ",14,15,79,120,135
"198","28JAN25 07:40:02 ",15,15,79,120,135
"199","28JAN25 07:40:03 ",15,15,79,120,135
"200","28JAN25 07:40:04 ",15,17,79,120,135
"201","28JAN25 07:40:05 ",16,16,79,120,135
"202","28JAN25 07:40:06 ",16,16,79,120,135
"203","28JAN25 07:40:07 ",16,16,79,120,135
"204","28JAN25 07:40:08 ",16,17,79,120,135
"205","28JAN25 07:40:09 ",16,17,79,120,135
"206","28JAN25 07:40:10 ",16,17,79,120,135
"207","28JAN25 07:40:11 ",16,17,78,120,135
"209","28JAN25 07:40:12 ",17,17,77,120,135
"210","28JAN25 07:40:13 ",17,17,77,120,135
"211","28JAN25 07:40:14 ",17,17,78,120,135
"212","28JAN25 07:40:15 ",17,18,77,120,135
"213","28JAN25 07:40:16 ",17,18,77,120,135
"214","28JAN25 07:40:17 ",18,18,77,120,135
"215","28JAN25 07:40:18 ",18,19,77,120,135
"216","28JAN25 07:40:19 ",18,20,75,120,135
"217","28JAN25 07:40:20 ",19,20,74,120,135
"218","28JAN25 07:40:21 ",19,20,74,120,135
"219","28JAN25 07:40:22 ",19,20,74,120,135
"220","28JAN25 07:40:23 ",26,33,60,120,135
"221","28JAN25 07:40:24 ",29,33,56,120,135
"222","28JAN25 07:40:25 ",31,33,56,120,135
"223","28JAN25 07:40:26 ",32,33,56,120,135
"224","28JAN25 07:40:27 ",76,100,54,125,140
"225","28JAN25 07:40:28 ",93,100,53,125,140
"226","28JAN25 07:40:29 ",100,100,53,125,140
"227","28JAN25 07:40:30 ",100,100,53,125,140
"228","28JAN25 07:40:31 ",100,100,53,125,140
"229","28JAN25 07:40:32 ",100,100,53,125,140
"230","28JAN25 07:40:33 ",100,100,53,125,140
"231","28JAN25 07:40:34 ",100,100,53,125,140
"232","28JAN25 07:40:35 ",100,100,53,125,140
"233","28JAN25 07:40:36 ",100,100,53,125,140
"234","28JAN25 07:40:37 ",100,100,53,125,140
"235","28JAN25 07:40:38 ",100,100,53,125,140
"236","28JAN25 07:40:39 ",100,100,53,125,140
"237","28JAN25 07:40:40 ",100,100,53,125,140
"238","28JAN25 07:40:41 ",100,100,53,125,140
"239","28JAN25 07:40:42 ",100,100,53,125,140
"240","28JAN25 07:40:43 ",100,100,53,125,140
"241","28JAN25 07:40:44 ",100,100,53,125,140
"242","28JAN25 07:40:45 ",100,100,53,125,140
"243","28JAN25 07:40:46 ",100,100,53,125,140
"244","28JAN25 07:40:47 ",100,100,53,125,140
"245","28JAN25 07:40:48 ",100,100,53,125,140
"246","28JAN25 07:40:49 ",100,100,53,125,140
"247","28JAN25 07:40:50 ",100,100,53,125,140
"248","28JAN25 07:40:51 ",100,100,53,125,140
"249","28JAN25 07:40:52 ",100,100,53,125,140
"250","28JAN25 07:40:53 ",100,100,53,125,140
"251","28JAN25 07:40:54 ",100,100,53,125,140
"252","28JAN25 07:40:55 ",100,100,53,125,140
"253","28JAN25 07:40:56 ",100,100,53,125,140
"254","28JAN25 07:40:57 ",100,100,53,125,140
"255","28JAN25 07:40:58 ",100,100,53,125,140
"256","28JAN25 07:40:59 ",100,100,53,125,140
"257","28JAN25 07:41:00 ",100,100,53,125,140
"258","28JAN25 07:41:01 ",100,100,53,125,140
"259","28JAN25 07:41:02 ",100,100,53,125,140
"260","28JAN25 07:41:03 ",100,100,53,125,140
"261","28JAN25 07:41:04 ",100,100,53,125,140
"262","28JAN25 07:41:05 ",100,100,53,125,140
"263","28JAN25 07:41:06 ",100,100,53,125,140
"264","28JAN25 07:41:07 ",100,100,53,125,140
"265","28JAN25 07:41:08 ",100,100,53,125,140
"266","28JAN25 07:41:09 ",100,100,53,125,140
"267","28JAN25 07:41:10 ",100,100,53,125,140
"268","28JAN25 07:41:11 ",100,100,53,125,140
"269","28JAN25 07:41:12 ",100,100,53,125,140
"270","28JAN25 07:41:13 ",100,100,53,125,140
"271","28JAN25 07:41:14 ",100,100,53,125,140
"272","28JAN25 07:41:15 ",100,100,53,125,140
"273","28JAN25 07:41:16 ",100,100,53,125,140
"274","28JAN25 07:41:17 ",100,100,53,125,140
"275","28JAN25 07:41:18 ",100,100,53,125,140
"276","28JAN25 07:41:19 ",100,100,53,125,140
"277","28JAN25 07:41:20 ",100,100,53,125,140
"278","28JAN25 07:41:21 ",100,100,53,125,140
"279","28JAN25 07:41:22 ",100,100,53,125,140
"280","28JAN25 07:41:23 ",100,100,53,125,140
"281","28JAN25 07:41:24 ",100,100,53,125,140
"282","28JAN25 07:41:25 ",100,100,53,125,140
"283","28JAN25 07:41:26 ",100,100,53,125,140
"284","28JAN25 07:41:27 ",100,100,53,125,140
"285","28JAN25 07:41:28 ",100,100,53,125,140
"286","28JAN25 07:41:29 ",100,100,53,125,140
"287","28JAN25 07:41:30 ",100,100,53,125,140
"288","28JAN25 07:41:31 ",100,100,53,125,140
"289","28JAN25 07:41:32 ",100,100,53,125,140
"290","28JAN25 07:41:33 ",100,100,53,125,140
"291","28JAN25 07:41:34 ",100,100,53,125,140
"292","28JAN25 07:41:35 ",100,100,53,125,140
"293","28JAN25 07:41:37 ",100,100,53,125,140
"294","28JAN25 07:41:38 ",100,100,53,125,140
"295","28JAN25 07:41:39 ",100,100,53,125,140
"296","28JAN25 07:41:40 ",100,100,53,125,140
"297","28JAN25 07:41:41 ",100,100,53,125,140
"298","28JAN25 07:41:42 ",100,100,53,125,140
"299","28JAN25 07:41:43 ",100,100,53,125,140
"300","28JAN25 07:41:44 ",100,100,53,125,140
"301","28JAN25 07:41:45 ",100,100,53,125,140
"302","28JAN25 07:41:46 ",100,100,53,125,140
"303","28JAN25 07:41:47 ",100,100,53,125,140
"304","28JAN25 07:41:48 ",100,100,53,125,140
"305","28JAN25 07:41:49 ",100,100,53,125,140
"306","28JAN25 07:41:50 ",100,100,53,125,140
"307","28JAN25 07:41:51 ",100,100,53,125,140
"308","28JAN25 07:41:52 ",100,100,53,125,140
"309","28JAN25 07:41:53 ",100,100,53,125,140
"310","28JAN25 07:41:54 ",100,100,53,125,140
"311","28JAN25 07:41:55 ",100,100,53,125,140
"312","28JAN25 07:41:56 ",100,100,53,125,140
"313","28JAN25 07:41:57 ",100,100,53,125,140
"315","28JAN25 07:41:58 ",100,100,53,125,140
"316","28JAN25 07:41:59 ",100,100,53,125,140
"317","28JAN25 07:42:00 ",100,100,53,125,140
"318","28JAN25 07:42:01 ",100,100,53,125,140
"319","28JAN25 07:42:02 ",100,100,53,125,140
"320","28JAN25 07:42:03 ",100,100,53,125,140
"321","28JAN25 07:42:04 ",100,100,53,125,140
"322","28JAN25 07:42:05 ",100,100,53,125,140
"323","28JAN25 07:42:06 ",100,100,53,125,140
"324","28JAN25 07:42:07 ",100,100,53,125,140
"325","28JAN25 07:42:08 ",100,100,53,125,140
"326","28JAN25 07:42:09 ",100,100,53,125,140
"327","28JAN25 07:42:10 ",100,100,53,125,140
"328","28JAN25 07:42:11 ",100,100,53,125,140
"329","28JAN25 07:42:12 ",100,100,53,125,140
"330","28JAN25 07:42:13 ",100,100,53,125,140
"331","28JAN25 07:42:14 ",100,100,53,125,140
"332","28JAN25 07:42:15 ",100,100,53,125,140
"333","28JAN25 07:42:16 ",100,100,53,125,140
"334","28JAN25 07:42:17 ",100,100,53,125,140
"335","28JAN25 07:42:18 ",100,100,53,125,140
"336","28JAN25 07:42:19 ",100,100,53,125,140
"337","28JAN25 07:42:20 ",100,100,53,125,140
"338","28JAN25 07:42:21 ",100,100,53,125,140
"339","28JAN25 07:42:22 ",100,100,53,125,140
"340","28JAN25 07:42:23 ",100,100,53,125,140
"341","28JAN25 07:42:24 ",75,29,57,125,140
"342","28JAN25 07:42:25 ",54,20,63,125,140
"343","28JAN25 07:42:26 ",19,20,76,125,140
"344","28JAN25 07:42:27 ",15,20,79,120,135
"345","28JAN25 07:42:28 ",15,20,79,120,135
"346","28JAN25 07:42:29 ",15,20,79,120,135
"347","28JAN25 07:42:30 ",15,20,79,120,135
"348","28JAN25 07:42:31 ",15,20,79,120,135
"349","28JAN25 07:42:32 ",20,50,74,125,140
"350","28JAN25 07:42:33 ",51,100,61,125,140
"351","28JAN25 07:42:34 ",87,100,53,125,140
"352","28JAN25 07:42:35 ",99,100,53,125,140
"353","28JAN25 07:42:36 ",100,100,53,125,140
"354","28JAN25 07:42:37 ",100,100,53,125,140
"355","28JAN25 07:42:38 ",100,100,53,125,140
"356","28JAN25 07:42:39 ",97,83,54,125,140
"357","28JAN25 07:42:40 ",71,64,60,125,140
"358","28JAN25 07:42:41 ",63,64,61,125,140
"359","28JAN25 07:42:42 ",61,64,61,125,140
"360","28JAN25 07:42:43 ",62,64,61,125,140
"361","28JAN25 07:42:44 ",62,64,61,125,140
"362","28JAN25 07:42:45 ",62,64,61,125,140
"363","28JAN25 07:42:46 ",66,94,59,125,140
"364","28JAN25 07:42:47 ",73,101,57,125,140
"365","28JAN25 07:42:48 ",96,100,53,125,140
"366","28JAN25 07:42:49 ",99,100,53,125,140
"367","28JAN25 07:42:50 ",100,100,53,125,140
"368","28JAN25 07:42:51 ",100,100,53,125,140
"369","28JAN25 07:42:52 ",100,100,53,125,140
"370","28JAN25 07:42:53 ",100,100,53,125,140
"371","28JAN25 07:42:54 ",100,100,53,125,140
"372","28JAN25 07:42:55 ",100,100,53,125,140
"373","28JAN25 07:42:56 ",100,100,53,125,140
"374","28JAN25 07:42:57 ",100,100,53,125,140
"375","28JAN25 07:42:58 ",100,100,53,125,140
"376","28JAN25 07:42:59 ",100,100,53,125,140
"377","28JAN25 07:43:00 ",100,100,53,125,140
"378","28JAN25 07:43:01 ",100,100,53,125,140
"379","28JAN25 07:43:02 ",100,100,53,125,140
"380","28JAN25 07:43:03 ",100,100,53,125,140
"381","28JAN25 07:43:04 ",100,100,53,125,140
"382","28JAN25 07:43:05 ",100,100,53,125,140
"383","28JAN25 07:43:06 ",100,100,53,125,140
"384","28JAN25 07:43:07 ",100,100,53,125,140
"385","28JAN25 07:43:08 ",100,100,53,125,140
"386","28JAN25 07:43:09 ",100,100,53,125,140
"387","28JAN25 07:43:10 ",100,100,53,125,140
"388","28JAN25 07:43:11 ",100,100,53,125,140
"389","28JAN25 07:43:12 ",100,100,53,125,140
"390","28JAN25 07:43:13 ",100,100,53,125,140
"391","28JAN25 07:43:14 ",100,100,53,125,140
"392","28JAN25 07:43:15 ",100,100,53,125,140
"393","28JAN25 07:43:16 ",100,100,53,125,140
"394","28JAN25 07:43:17 ",100,100,53,125,140
"395","28JAN25 07:43:18 ",100,100,53,125,140
"396","28JAN25 07:43:19 ",100,100,53,125,140
"397","28JAN25 07:43:20 ",100,100,53,125,140
"398","28JAN25 07:43:21 ",100,100,53,125,140
"399","28JAN25 07:43:22 ",100,100,53,125,140
"400","28JAN25 07:43:23 ",100,100,53,125,140
"401","28JAN25 07:43:24 ",100,100,53,125,140
"402","28JAN25 07:43:25 ",100,100,53,125,140
"403","28JAN25 07:43:26 ",100,100,53,125,140
"404","28JAN25 07:43:28 ",100,100,53,125,140
"405","28JAN25 07:43:29 ",100,100,53,125,140
"406","28JAN25 07:43:30 ",100,100,53,125,140
"407","28JAN25 07:43:31 ",100,100,53,125,140
"408","28JAN25 07:43:32 ",100,100,53,125,140
"409","28JAN25 07:43:33 ",100,100,53,125,140
"410","28JAN25 07:43:34 ",100,100,53,125,140
"411","28JAN25 07:43:35 ",100,100,53,125,140
"412","28JAN25 07:43:36 ",100,100,53,125,140
"413","28JAN25 07:43:37 ",100,100,53,125,140
"414","28JAN25 07:43:38 ",100,100,53,125,140
"415","28JAN25 07:43:39 ",100,100,53,125,140
"416","28JAN25 07:43:40 ",100,100,53,125,140
"417","28JAN25 07:43:41 ",100,100,53,125,140
"418","28JAN25 07:43:42 ",100,100,53,125,140
"419","28JAN25 07:43:43 ",100,100,53,125,140
"420","28JAN25 07:43:44 ",100,100,53,125,140
"421","28JAN25 07:43:45 ",100,100,53,125,140
"422","28JAN25 07:43:46 ",100,100,53,125,140
"423","28JAN25 07:43:47 ",100,100,53,125,140
"425","28JAN25 07:43:48 ",100,100,53,125,140
"426","28JAN25 07:43:49 ",100,100,53,125,140
"427","28JAN25 07:43:50 ",100,100,53,125,140
"428","28JAN25 07:43:51 ",100,100,53,125,140
"429","28JAN25 07:43:52 ",100,100,53,125,140
"430","28JAN25 07:43:53 ",100,100,53,125,140
"431","28JAN25 07:43:54 ",100,100,53,125,140
"432","28JAN25 07:43:55 ",100,100,53,125,140
"433","28JAN25 07:43:56 ",100,100,53,125,140
"434","28JAN25 07:43:57 ",100,100,53,125,140
"435","28JAN25 07:43:58 ",100,100,53,125,140
"436","28JAN25 07:43:59 ",100,100,53,125,140
"437","28JAN25 07:44:00 ",100,100,53,125,140
"438","28JAN25 07:44:01 ",100,100,53,125,140
